RAM 5596/31919MB (lfb 3913x4MB) SWAP 0/15959MB (cached 0MB) CPU [32%@1803,21%@1803,26%@1803,31%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@41.5C iwlwifi@47C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@40C Tboard@40C GPU 7542/7475 CPU 1231/1196 SOC 4459/4390 CV 0/0 VDDRQ 2307/2303 SYS5V 4702/4689
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [22%@1803,28%@1803,31%@1803,27%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 72%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@41.5C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@39.85C Tboard@40C GPU 7542/7477 CPU 1077/1193 SOC 4459/4391 CV 0/0 VDDRQ 2307/2303 SYS5V 4702/4689
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [32%@1803,25%@1803,32%@1803,20%@1803,off,off,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7391/7475 CPU 1077/1190 SOC 4307/4390 CV 0/0 VDDRQ 2308/2304 SYS5V 4702/4689
RAM 5596/31919MB (lfb 3913x4MB) SWAP 0/15959MB (cached 0MB) CPU [33%@1803,26%@1803,32%@1803,21%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 52%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@42C iwlwifi@46C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7542/7476 CPU 1231/1191 SOC 4459/4391 CV 0/0 VDDRQ 2307/2304 SYS5V 4702/4690
RAM 5590/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [32%@1803,23%@1803,27%@1803,30%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@41.5C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7542/7478 CPU 1231/1192 SOC 4307/4389 CV 0/0 VDDRQ 2307/2304 SYS5V 4702/4690
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [29%@1190,23%@1190,29%@1190,23%@1190,off,off,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 96%@905 APE 150 MTS fg 0% bg 2% AO@38.5C GPU@42C iwlwifi@43C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40C thermal@40.15C Tboard@40C GPU 7542/7479 CPU 1077/1190 SOC 4307/4388 CV 0/0 VDDRQ 2308/2304 SYS5V 4662/4689
RAM 5583/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1190,28%@1190,25%@1190,26%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@40C Tboard@40C GPU 7542/7480 CPU 1077/1187 SOC 4306/4386 CV 0/0 VDDRQ 2307/2304 SYS5V 4662/4689
RAM 5595/31919MB (lfb 3913x4MB) SWAP 0/15959MB (cached 0MB) CPU [30%@1190,19%@1190,34%@1190,27%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7542/7482 CPU 1231/1188 SOC 4307/4384 CV 0/0 VDDRQ 2307/2304 SYS5V 4702/4689
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [32%@1190,25%@1190,30%@1190,24%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7542/7483 CPU 1231/1189 SOC 4459/4386 CV 0/0 VDDRQ 2307/2304 SYS5V 4702/4689
RAM 5595/31919MB (lfb 3913x4MB) SWAP 0/15959MB (cached 0MB) CPU [34%@1803,25%@1803,29%@1803,26%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7542/7484 CPU 1077/1187 SOC 4459/4387 CV 0/0 VDDRQ 2307/2304 SYS5V 4702/4689
RAM 5596/31919MB (lfb 3913x4MB) SWAP 0/15959MB (cached 0MB) CPU [34%@1803,26%@1804,22%@1803,25%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 2% AO@38.5C GPU@42C iwlwifi@43C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7542/7485 CPU 1231/1188 SOC 4461/4389 CV 0/0 VDDRQ 2307/2304 SYS5V 4702/4690
