node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/darknet/residual10/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (7.56%, 0.17%),           108us (4.64%, 0.04%),            54us (2.17%, 0.03%),           54us (10.67%, 0.06%)
edge_1151_import/pred_sbbox/Tile@@MemcpyDtoH             0B (0.00%, 0.00%),           108us (4.60%, 0.04%),           108us (2.14%, 0.05%),            0us (10.60%, 0.00%)
import/darknet/residual8/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (7.40%, 0.17%),           107us (4.57%, 0.04%),            58us (2.09%, 0.03%),           49us (10.60%, 0.06%)
import/darknet/residual9/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           107us (4.53%, 0.04%),            57us (2.06%, 0.03%),           50us (10.54%, 0.06%)
import/darknet/residual6/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (7.23%, 0.17%),           106us (4.49%, 0.04%),            54us (2.03%, 0.03%),           52us (10.49%, 0.06%)
import/darknet/residual14/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           105us (4.46%, 0.04%),            35us (2.01%, 0.02%),           70us (10.42%, 0.08%)
import/darknet/residual10/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (7.06%, 0.08%),           105us (4.42%, 0.04%),            33us (1.99%, 0.02%),           72us (10.34%, 0.09%)
import/darknet/residual7/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           104us (4.39%, 0.04%),            28us (1.98%, 0.01%),           76us (10.26%, 0.09%)
import/darknet/residual3/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (6.98%, 0.17%),           104us (4.35%, 0.04%),            54us (1.96%, 0.03%),           50us (10.17%, 0.06%)
import/darknet/residual7/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (6.81%, 0.17%),           104us (4.31%, 0.04%),            56us (1.94%, 0.03%),           48us (10.11%, 0.06%)
import/darknet/residual8/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           103us (4.28%, 0.04%),            55us (1.91%, 0.03%),           48us (10.05%, 0.06%)
edge_1155_import/pred_sbbox/Tile_1@@MemcpyDtoH             0B (0.00%, 0.00%),           103us (4.24%, 0.04%),           103us (1.88%, 0.05%),             0us (9.99%, 0.00%)
import/conv66/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (6.65%, 0.17%),           103us (4.21%, 0.04%),            56us (1.83%, 0.03%),            47us (9.99%, 0.06%)
import/conv65/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           102us (4.17%, 0.04%),            56us (1.80%, 0.03%),            46us (9.94%, 0.05%)
import/darknet/residual4/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (6.48%, 0.17%),           101us (4.14%, 0.03%),            59us (1.78%, 0.03%),            42us (9.88%, 0.05%)
import/conv67/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (6.31%, 0.17%),           101us (4.10%, 0.03%),            55us (1.75%, 0.03%),            46us (9.83%, 0.05%)
import/darknet/residual5/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (6.15%, 0.17%),           100us (4.07%, 0.03%),            58us (1.72%, 0.03%),            42us (9.78%, 0.05%)
import/conv61/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       692.22KB (5.98%, 0.04%),           100us (4.03%, 0.03%),            18us (1.69%, 0.01%),            82us (9.73%, 0.10%)
import/darknet/conv26/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.99MB (5.94%, 0.18%),           100us (4.00%, 0.03%),            59us (1.69%, 0.03%),            41us (9.63%, 0.05%)
import/darknet/residual11/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       692.22KB (5.76%, 0.04%),            99us (3.96%, 0.03%),            18us (1.66%, 0.01%),            81us (9.58%, 0.10%)
import/darknet/residual10/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (5.72%, 0.17%),            98us (3.93%, 0.03%),            58us (1.65%, 0.03%),            40us (9.49%, 0.05%)
import/darknet/residual1/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (5.55%, 0.17%),            98us (3.90%, 0.03%),            56us (1.62%, 0.03%),            42us (9.44%, 0.05%)
import/darknet/residual7/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (5.38%, 0.17%),            97us (3.86%, 0.03%),            55us (1.59%, 0.03%),            42us (9.39%, 0.05%)
import/conv66/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (5.22%, 0.08%),            96us (3.83%, 0.03%),            30us (1.57%, 0.01%),            66us (9.34%, 0.08%)
import/conv56/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       346.11KB (5.13%, 0.02%),            96us (3.80%, 0.03%),            12us (1.55%, 0.01%),            84us (9.26%, 0.10%)
import/conv_mbbox/BiasAdd-0-0-TransposeNCHWToNHWC-LayoutOptimizer       689.66KB (5.11%, 0.04%),            92us (3.76%, 0.03%),            20us (1.55%, 0.01%),            72us (9.16%, 0.09%)
import/darknet/residual16/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            92us (3.73%, 0.03%),            33us (1.54%, 0.02%),            59us (9.08%, 0.07%)
import/darknet/residual12/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (5.07%, 0.08%),            91us (3.70%, 0.03%),            36us (1.52%, 0.02%),            55us (9.01%, 0.07%)
import/darknet/residual6/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.99%, 0.08%),            91us (3.67%, 0.03%),            32us (1.50%, 0.02%),            59us (8.94%, 0.07%)
import/darknet/residual4/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (4.90%, 0.08%),            91us (3.64%, 0.03%),            31us (1.49%, 0.02%),            60us (8.87%, 0.07%)
import/darknet/residual13/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),            90us (3.61%, 0.03%),            35us (1.47%, 0.02%),            55us (8.80%, 0.07%)
