RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [89%@2261,8%@2262,7%@2262,5%@2262,10%@2263,14%@2263,18%@2263,19%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 73%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.4C Tboard@39C GPU 14284/15814 CPU 2304/2529 SOC 3993/4260 CV 0/0 VDDRQ 2304/2561 SYS5V 4353/4442
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [86%@2263,11%@2262,10%@2262,10%@2262,4%@2262,7%@2262,19%@2216,23%@2263] EMC_FREQ 45%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.85C Tboard@39C GPU 15046/15797 CPU 2304/2524 SOC 4145/4258 CV 0/0 VDDRQ 2457/2559 SYS5V 4353/4440
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [90%@2263,20%@2263,8%@2262,10%@2262,8%@2262,9%@2262,16%@2263,16%@2263] EMC_FREQ 47%@2133 GR3D_FREQ 72%@1377 APE 150 MTS fg 0% bg 0% AO@39.5C GPU@45C Tdiode@45C PMIC@100C AUX@38C CPU@41C thermal@40.85C Tboard@39C GPU 17473/15834 CPU 2452/2522 SOC 4446/4262 CV 0/0 VDDRQ 2760/2563 SYS5V 4512/4441
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [95%@2262,19%@2262,17%@2262,12%@2263,12%@2263,9%@2262,3%@2262,5%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@42.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@40.25C Tboard@39C GPU 12605/15764 CPU 2306/2518 SOC 3844/4253 CV 0/0 VDDRQ 2153/2554 SYS5V 4233/4437
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [92%@2262,19%@2262,17%@2262,12%@2262,7%@2263,8%@2263,5%@2263,7%@2263] EMC_FREQ 43%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@38.5C GPU@41.5C Tdiode@44.5C PMIC@100C AUX@38C CPU@41C thermal@40.7C Tboard@39C GPU 10928/15661 CPU 2155/2510 SOC 3694/4241 CV 0/0 VDDRQ 2001/2543 SYS5V 4153/4431
RAM 6104/31919MB (lfb 4801x4MB) SWAP 0/15959MB (cached 0MB) CPU [93%@2262,14%@2263,15%@2263,13%@2263,6%@2263,9%@2263,9%@2263,9%@2263] EMC_FREQ 40%@2133 GR3D_FREQ 70%@1377 APE 150 MTS fg 0% bg 0% AO@38.5C GPU@41.5C Tdiode@44.25C PMIC@100C AUX@38C CPU@40.5C thermal@40.7C Tboard@39C GPU 11082/15565 CPU 2308/2506 SOC 3694/4229 CV 0/0 VDDRQ 2000/2531 SYS5V 4193/4426
RAM 6104/31919MB (lfb 4801x4MB) SWAP 0/15959MB (cached 0MB) CPU [97%@2263,26%@2263,12%@2263,9%@2263,4%@2263,9%@2263,5%@2263,6%@2263] EMC_FREQ 42%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@40.35C Tboard@39C GPU 15347/15561 CPU 2303/2502 SOC 4145/4228 CV 0/0 VDDRQ 2456/2530 SYS5V 4392/4425
RAM 6104/31919MB (lfb 4801x4MB) SWAP 0/15959MB (cached 0MB) CPU [99%@2263,21%@2263,10%@2263,8%@2263,6%@2263,7%@2263,6%@2263,8%@2263] EMC_FREQ 45%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@41C Tboard@39C GPU 15807/15566 CPU 2302/2498 SOC 4145/4226 CV 0/0 VDDRQ 2456/2528 SYS5V 4392/4425
RAM 6105/31919MB (lfb 4801x4MB) SWAP 0/15959MB (cached 0MB) CPU [99%@2263,25%@2263,14%@2263,8%@2263,5%@2263,8%@2263,8%@2263,4%@2263] EMC_FREQ 49%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@40.85C Tboard@39C GPU 15801/15570 CPU 2302/2494 SOC 4297/4227 CV 0/0 VDDRQ 2609/2530 SYS5V 4432/4425
RAM 6105/31919MB (lfb 4800x4MB) SWAP 0/15959MB (cached 0MB) CPU [93%@2263,15%@2263,13%@2263,9%@2263,7%@2263,10%@2263,13%@2262,12%@2263] EMC_FREQ 44%@2133 GR3D_FREQ 21%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43C Tdiode@44.5C PMIC@100C AUX@38C CPU@40.5C thermal@39.65C Tboard@39C GPU 13220/15525 CPU 2152/2487 SOC 3996/4223 CV 0/0 VDDRQ 2153/2523 SYS5V 4273/4422
